position,post_id,post_by,post_text,post_published,comment_id,comment_by,is_reply,comment_message,comment_published,comment_like_count,attachment_type,attachment_url
145_1,123452516277_10157143688336278,7cc2bc22ef63a0c8ef1273b055a4c06e4a299f3e,These unique toast combinations are guaranteed game-changers.,2019-06-18T20:15:00+0000,10157143688336278_10157147968136278,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Carol Smith Brennan,2019-06-19T16:57:25+0000,0,,
146_2,123452516277_10157143686971278,7cc2bc22ef63a0c8ef1273b055a4c06e4a299f3e,Even if you don’t feel any different  you should eat different.,2019-06-18T18:15:00+0000,10157143686971278_10157146066326278,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Well what do we eat? ... leaves? 🤷🏼‍♀️,2019-06-18T22:14:19+0000,0,,
146_4,123452516277_10157143686971278,7cc2bc22ef63a0c8ef1273b055a4c06e4a299f3e,Even if you don’t feel any different  you should eat different.,2019-06-18T18:15:00+0000,10157143686971278_10157149414621278,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,,2019-06-20T06:00:51+0000,0,,
146_5,123452516277_10157143686971278,7cc2bc22ef63a0c8ef1273b055a4c06e4a299f3e,Even if you don’t feel any different  you should eat different.,2019-06-18T18:15:00+0000,10157143686971278_10157148590581278,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Laura Rivera😘,2019-06-19T21:26:45+0000,0,,
146_7,123452516277_10157143686971278,7cc2bc22ef63a0c8ef1273b055a4c06e4a299f3e,Even if you don’t feel any different  you should eat different.,2019-06-18T18:15:00+0000,10157143686971278_10157145878876278,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,Polly Clayton they like to pick on everyone lol,2019-06-18T20:32:29+0000,0,,
146_8,123452516277_10157143686971278,7cc2bc22ef63a0c8ef1273b055a4c06e4a299f3e,Even if you don’t feel any different  you should eat different.,2019-06-18T18:15:00+0000,10157143686971278_10157145942151278,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,Jessica Dawson lol,2019-06-18T21:05:50+0000,0,,
148_0,123452516277_10157143685821278,7cc2bc22ef63a0c8ef1273b055a4c06e4a299f3e,Get to a slimmer you by filling your mug with one of these.,2019-06-18T16:15:00+0000,10157143685821278_10157146021241278,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,Let's make some!,2019-06-18T21:44:59+0000,0,,
149_0,123452516277_10157143685361278,7cc2bc22ef63a0c8ef1273b055a4c06e4a299f3e,Cook up a delicious steak right in your own kitchen that isn t unnecessarily high in calories.,2019-06-18T15:15:00+0000,10157143685361278_10157146006121278,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,Patricia Blank  I’m still not bored with just steak 🤔😂,2019-06-18T21:37:19+0000,0,,
149_1,123452516277_10157143685361278,7cc2bc22ef63a0c8ef1273b055a4c06e4a299f3e,Cook up a delicious steak right in your own kitchen that isn t unnecessarily high in calories.,2019-06-18T15:15:00+0000,10157143685361278_10157145878441278,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Michael Jackman,2019-06-18T20:32:17+0000,0,,
150_0,123452516277_10157143676646278,7cc2bc22ef63a0c8ef1273b055a4c06e4a299f3e,If you like to snack on-the-go  hummus & carrots let you reap benefits on the move.  This duo provides healthy fats  fiber  weight-loss fueling protein  belly-filling water  vitamin A and magnesium  which releases fat from its stores. What more could you want from a snack?,2019-06-18T14:15:00+0000,10157143676646278_10157146131141278,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,One of my faves!!,2019-06-18T22:56:18+0000,0,,
151_0,123452516277_10157136179271278,7cc2bc22ef63a0c8ef1273b055a4c06e4a299f3e,They re so easy  you won t even have to think about them.,2019-06-18T02:15:00+0000,10157136179271278_10157146268296278,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Fatima Sadek Zalzali,2019-06-19T00:17:23+0000,0,,
