position,post_id,post_by,post_text,post_published,comment_id,comment_by,is_reply,comment_message,comment_published,comment_like_count,attachment_type,attachment_url
23_0,25567278752_10156592034908753,967a2451efaaefd1c8ac9ff9390073528b008a97,Adios Barbie,2019-06-27T14:02:07+0000,10156592034908753_10156592105898753,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,Just because you can't do everything doesn't mean you shouldn't do something. This is their something.,2019-06-27T14:45:01+0000,4,,
97_3,25567278752_10156555757103753,967a2451efaaefd1c8ac9ff9390073528b008a97,Mexi-CAN-s!,2019-06-12T04:34:06+0000,10156555757103753_10156555803288753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Whats her name?,2019-06-12T05:27:53+0000,4,,
164_8,25567278752_10156505308998753,967a2451efaaefd1c8ac9ff9390073528b008a97,A relative posted this. I m reposting so that we all are aware of the  argument  against  My body  my choice. ,2019-05-22T18:35:16+0000,10156505308998753_10156505745168753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,"I wonder if Kristen would support legally requiring mothers such as herself to donate organs to her children, After all, she created them, shouldn't she be responsible for keeping them alive? Even if she is still using the organs, so what, she should have thought of that before she got pregnant. smh",2019-05-22T23:01:56+0000,4,,
182_2,25567278752_10156490149003753,967a2451efaaefd1c8ac9ff9390073528b008a97,Adios Barbie,2019-05-16T13:48:14+0000,10156490149003753_10156490482038753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,"Hence, the governor of Alabama.",2019-05-16T16:58:45+0000,4,,
193_0,25567278752_10156479699978753,967a2451efaaefd1c8ac9ff9390073528b008a97,Adios Barbie,2019-05-11T19:59:01+0000,10156479699978753_10156479787738753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,This quote is so often misattributed. It's actually the words of Son of Baldwin - it's the wallpaper here: facebook.com/sonofbaldwinfb,2019-05-11T20:39:55+0000,4,native_templates,https://www.facebook.com/sonofbaldwinfb/
4_0,25567278752_10156598353218753,967a2451efaaefd1c8ac9ff9390073528b008a97,RIP Luis Alvarez.,2019-06-30T01:55:11+0000,10156598353218753_10156598443733753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,I’ll just leave this right here.,2019-06-30T02:42:09+0000,3,photo,https://www.facebook.com/photo.php?fbid=10157159569648886&set=p.10157159569648886&type=3
30_0,25567278752_10156585862623753,967a2451efaaefd1c8ac9ff9390073528b008a97,Adios Barbie,2019-06-24T21:39:45+0000,10156585862623753_10156585938988753,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,"Kitty Robinson, I don’t know about you, but I’m getting pretty tired of these articles on repeat. They come from a slew of pages that I follow. If it isn’t current, I don’t need it.",2019-06-24T22:24:12+0000,3,,
30_2,25567278752_10156585862623753,967a2451efaaefd1c8ac9ff9390073528b008a97,Adios Barbie,2019-06-24T21:39:45+0000,10156585862623753_10156585913078753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,This is from almost a year ago though... do we have any updates?,2019-06-24T22:06:40+0000,3,,
68_1,25567278752_10156568500663753,967a2451efaaefd1c8ac9ff9390073528b008a97,Adios Barbie,2019-06-17T18:29:55+0000,10156568500663753_10156568834338753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Police could charge them for wasting police time.,2019-06-17T21:33:13+0000,3,,
80_7,25567278752_10156561416573753,967a2451efaaefd1c8ac9ff9390073528b008a97,Resist.,2019-06-14T18:32:25+0000,10156561416573753_10156561442588753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,"Yes, our society's norms are stupid.  Unfortunately he will have to shave his legs with that dress too. Women are expected to..",2019-06-14T18:45:28+0000,3,,
90_0,25567278752_10156557186393753,967a2451efaaefd1c8ac9ff9390073528b008a97,Adios Barbie,2019-06-12T21:22:16+0000,10156557186393753_10156558820938753,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,"Jennifer L. Pozner yes i Did. Its not ideal but it's still very very good. We don't have any openly gay superstars who could have been cast for this role. That being said, its a well-done and bold move. Its very mainstream and it urges parents to rethink their stance on hetero love",2019-06-13T15:54:17+0000,3,,
95_3,25567278752_10156556576218753,967a2451efaaefd1c8ac9ff9390073528b008a97,Adios Barbie,2019-06-12T16:06:22+0000,10156556576218753_10156556604133753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,2016,2019-06-12T16:23:02+0000,3,,
145_4,25567278752_10156524264853753,967a2451efaaefd1c8ac9ff9390073528b008a97,“The trailer looks to give Kate Kane her own narrative of romance and revenge  one so many heteros have been afforded (mostly men) time and time again ” Bendix told NBC News in an email. “Seeing Batwoman in action as a convincingly queer hero is groundbreaking and I’m psyched for the show.”,2019-05-30T16:41:33+0000,10156524264853753_10156524888043753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Ohim Sheeme she’s not that great of an actress in general but I’m looking forward to this. Maybe she’s.. better now 🤷🏻‍♀️,2019-05-30T21:54:47+0000,3,,
145_5,25567278752_10156524264853753,967a2451efaaefd1c8ac9ff9390073528b008a97,“The trailer looks to give Kate Kane her own narrative of romance and revenge  one so many heteros have been afforded (mostly men) time and time again ” Bendix told NBC News in an email. “Seeing Batwoman in action as a convincingly queer hero is groundbreaking and I’m psyched for the show.”,2019-05-30T16:41:33+0000,10156524264853753_10156524795713753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,*waits for the sound of sexist heads exploding*,2019-05-30T21:14:46+0000,3,,
163_4,25567278752_10156505311733753,967a2451efaaefd1c8ac9ff9390073528b008a97, Under North Carolina law  women cannot legally revoke their consent to engage in sexual intercourse once that act has consensually begun  thanks to a  loophole  afforded by the state s Supreme Court. For women in the state  this has meant that being physically forced to  finish  a sexual encounter involves little to no legal recourse  especially compared to other forms of assault. ,2019-05-22T18:37:14+0000,10156505311733753_10156507178693753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,I'll hope they'll remember this when American women just will reach a point when they won't take any more shit and just behead every single male politician.,2019-05-23T17:01:10+0000,3,,
163_5,25567278752_10156505311733753,967a2451efaaefd1c8ac9ff9390073528b008a97, Under North Carolina law  women cannot legally revoke their consent to engage in sexual intercourse once that act has consensually begun  thanks to a  loophole  afforded by the state s Supreme Court. For women in the state  this has meant that being physically forced to  finish  a sexual encounter involves little to no legal recourse  especially compared to other forms of assault. ,2019-05-22T18:37:14+0000,10156505311733753_10156505362508753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Gross. Just awful.,2019-05-22T19:10:07+0000,3,,
164_5,25567278752_10156505308998753,967a2451efaaefd1c8ac9ff9390073528b008a97,A relative posted this. I m reposting so that we all are aware of the  argument  against  My body  my choice. ,2019-05-22T18:35:16+0000,10156505308998753_10156505399658753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Wow. This is unbelievably patronising.,2019-05-22T19:25:51+0000,3,,
164_10,25567278752_10156505308998753,967a2451efaaefd1c8ac9ff9390073528b008a97,A relative posted this. I m reposting so that we all are aware of the  argument  against  My body  my choice. ,2019-05-22T18:35:16+0000,10156505308998753_10156505394553753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Women must be respected and protected.  Because nothing makes women feel safe and respected like being forced to stick a coat hanger into her own uterus rather than go through forced birth. It’s a lot easier to respect our bodies when they’re corpses.,2019-05-22T19:24:30+0000,3,,
182_1,25567278752_10156490149003753,967a2451efaaefd1c8ac9ff9390073528b008a97,Adios Barbie,2019-05-16T13:48:14+0000,10156490149003753_10156490969148753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,"Patriarchy is kinda mostly men though, let's be honest",2019-05-16T21:45:50+0000,3,,
185_4,25567278752_10156488586008753,967a2451efaaefd1c8ac9ff9390073528b008a97,This is America. We must fight back.,2019-05-15T20:43:43+0000,10156488586008753_10156488756188753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Not one of them fought for the kids that were taken away from their parents and kept in cages for LEGALLY seeking asylum or any of the thousands of sick kids in Flint Michigan.,2019-05-15T21:54:11+0000,3,,
194_1,25567278752_10156477151993753,967a2451efaaefd1c8ac9ff9390073528b008a97,Adios Barbie,2019-05-10T18:30:07+0000,10156477151993753_10156478695488753,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,Didn't they say they would allow abortion for rape and incest cases? This is a way for them to stop women who were raped accessing abortions under this rule,2019-05-11T10:01:38+0000,3,,
